date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:39	170847/170847	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-29b5f%22	https://darkmoddervc.github.io/PS4JB/payloads/ps4debug.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads/ps4debug.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
10:25:40	1117914/1117914	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-110eda%22	https://darkmoddervc.github.io/PS4JB/payloads/miraunofficial.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads/miraunofficial.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
10:25:41	7161/7161	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-1bf9%22	https://darkmoddervc.github.io/PS4JB/payloads/todex.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads/todex.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
10:25:41	1055595/1055595	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-101b6b%22	https://darkmoddervc.github.io/PS4JB/payloads/miranohb.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads/miranohb.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
10:25:43	3007/3007	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-bbf%22	https://darkmoddervc.github.io/PS4JB/utils.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/utils.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:43	115843/115843	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-1c483%22	https://darkmoddervc.github.io/PS4JB/payloads/webrte.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads/webrte.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
10:25:44	9528/9528	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-2538%22	https://darkmoddervc.github.io/PS4JB/int64.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/int64.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:45	9523/9523	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-2533%22	https://darkmoddervc.github.io/PS4JB/rop.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/rop.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:49	120091/120091	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-1d51b%22	https://darkmoddervc.github.io/PS4JB/userland.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/userland.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:49	19100/19100	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-4a9c%22	https://darkmoddervc.github.io/PS4JB/ps4.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/ps4.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:52	1746443/1746443	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-1aa60b%22	https://darkmoddervc.github.io/PS4JB/payloads.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/payloads.js	(from https://darkmoddervc.github.io/PS4JB/index702.html)
10:25:53	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://darkmoddervc.github.io/PS4JB/75XV2/GET	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/GET	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
10:25:54	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	https://darkmoddervc.github.io/PS4JB/75XV2/jb.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/jb.js	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
10:25:56	2796/2796	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-aec%22	https://darkmoddervc.github.io/PS4JB/75XV2/webkit/utils.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/webkit/utils.js	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
10:25:57	6558/6558	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-199e%22	https://darkmoddervc.github.io/PS4JB/75XV2/webkit/int64.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/webkit/int64.js	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
10:25:59	17310/17310	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-439e%22	https://darkmoddervc.github.io/PS4JB/75XV2/webkit/ps4.js	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/webkit/ps4.js	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
10:26:03	225985/225985	---M--	200	added ('OK')	image/jpeg	etag:%226055f076-372c1%22	https://darkmoddervc.github.io/PS4JB/75XV2/ps4.jpg	C:/My%20Web%20Sites/darkmoddervc.github.io/darkmoddervc.github.io/PS4JB/75XV2/ps4.jpg	(from https://darkmoddervc.github.io/PS4JB/75XV2/index.html)
